LGD ,Resident Pop.,P count,RC count,Other Count,None count,P %,RC %,Other %,None %
Northern Ireland,"1,810,863","875,717","817,385","16,592","101,169",48.4,45.1,0.9,5.6
Belfast East,"92,221","69,533","11,712","1,324","9,652",75.4,12.7,1.4,10.5
Belfast North,"102,531","46,821","48,126","1,066","6,518",45.7,46.9,1,6.4
Belfast South,"111,402","48,630","49,025","3,124","10,623",43.7,44,2.8,9.5
Belfast West,"93,986","15,645","75,263",549,"2,529",16.7,80.1,0.6,2.7
East Antrim,"90,067","63,148","18,362",877,"7,680",70.1,20.4,1,8.5
East Londonderry,"99,673","53,097","41,564",674,"4,338",53.3,41.7,0.7,4.4
Fermanagh and South Tyrone,"102,553","40,100","59,159",628,"2,666",39.1,57.7,0.6,2.6
Foyle,"100,807","22,193","75,731",793,"2,090",22,75.1,0.8,2.1
Lagan Valley,"101,710","73,158","19,346","1,006","8,200",71.9,19,1,8.1
Mid Ulster,"99,155","30,522","66,152",438,"2,043",30.8,66.7,0.4,2.1
Newry and Armagh,"112,401","34,380","74,591",616,"2,814",30.6,66.4,0.6,2.5
North Antrim,"108,207","71,446","30,723",801,"5,237",66,28.4,0.7,4.8
North Down,"89,498","66,618","11,269","1,026","10,585",74.4,12.6,1.2,11.8
South Antrim,"99,238","59,349","31,619",867,"7,403",59.8,31.9,0.9,7.5
South Down,"108,835","29,224","75,384",570,"3,657",26.9,69.3,0.5,3.4
Strangford,"89,370","65,353","15,447",839,"7,731",73.1,17.3,0.9,8.7
Upper Bann,"118,010","58,998","51,919","1,033","6,060",50,44,0.9,5.1
West Tyrone,"91,199","27,502","61,993",361,"1,343",30.2,68,0.4,1.5
